Name:;Data 6/10/2024 15_08_28
Owner:;Hella
Comments:; 
Acquisition Date:;6/3/2024 10:26:00 AM
Scan List:;Scan List A
Instrument:;34980A;Address:;USB0::2391::1287::MY56482360::0::INSTR;Modules:;2;Slot9:;Computed;Slot1:;34925A
Total Channels:;13
Channel;Name;Function;Range;Resolution;AdvSettings;Scale;Gain;Offset;Label;Limit Type;Limit Setting;
1001;temp ref;Temp 4-Wire RTD;None;C;Temp 4-Wire RTD#1#0.016#Auto#0.001#C#0.00385 (DIN)#100#True;False;1;0;C; ;
1002;TEMP AMB;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1004;G In Sol;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1005;G IN P;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1006;G C H;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1007;D Coil P;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1008;D IN P;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1009;D Coil S;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1013;G Box;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1014;D Box;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1017;V 1;DC Voltage;Auto;5.5;DC Voltage#10M#1#0.016#Auto#0.001;False;1;0;VDC; ;
1040;SHUNT4;DC Voltage;Auto;5.5;DC Voltage#10M#1#0.016#Auto#0.001;False;1;0;VDC; ;
9004;TOK4_1ohm;Ch1040 / 1;;;;False;1;0;ADC; ;

Limit Type;Integer Symbol
None;0
Below;1
Above;2
Out of Limits;3
In Limits;4
Stabilize;5
Bitwise equal;6
Bitwise not equal;7
Numeric equal;8
Numeric not equal;9
Totalizer;11
Destabilize;12

Scan  Control:;Start Action:;Immediately;Stop Action:;User Terminated
Scan Order:1001 1002 1004 1005 1006 1007 1008 1009 1013 1014 1017 1040 
Scan;Time;1001 <temp ref> (C);Limit 1001;1002 <TEMP AMB> (C);Limit 1002;1004 <G In Sol> (C);Limit 1004;1005 <G IN P> (C);Limit 1005;1006 <G C H> (C);Limit 1006;1007 <D Coil P> (C);Limit 1007;1008 <D IN P> (C);Limit 1008;1009 <D Coil S> (C);Limit 1009;1013 <G Box> (C);Limit 1013;1014 <D Box> (C);Limit 1014;1017 <V 1> (VDC);Limit 1017;1040 <SHUNT4> (VDC);Limit 1040;9004 <TOK4_1ohm> (ADC);Limit 9004
6578;10.6.2024 16:58:09:908;26.183;0;100.04;0;115.233;0;119.274;0;117.326;0;118.691;0;119.565;0;116.962;0;104.432;0;102.462;0;12.987135;0;0.35963588;0;0.35963588;0
6579;10.6.2024 16:58:10:907;26.183;0;100.221;0;115.106;0;119.146;0;117.272;0;118.837;0;119.692;0;116.78;0;104.269;0;102.408;0;12.987052;0;0.36099841;0;0.36099841;0
6580;10.6.2024 16:58:11:907;26.179;0;100.163;0;115.211;0;119.106;0;117.268;0;118.815;0;119.688;0;116.813;0;104.32;0;102.35;0;12.987052;0;0.36231079;0;0.36231079;0
6581;10.6.2024 16:58:12:907;26.183;0;100.239;0;115.178;0;119.128;0;117.29;0;118.801;0;119.711;0;116.853;0;104.288;0;102.39;0;12.986884;0;0.3608981;0;0.3608981;0
6582;10.6.2024 16:58:13:907;26.186;0;100.17;0;115.181;0;119.204;0;117.293;0;118.804;0;119.768;0;116.838;0;104.327;0;102.357;0;12.987135;0;0.36192627;0;0.36192627;0
6583;10.6.2024 16:58:14:907;26.181;0;100.183;0;115.176;0;119.072;0;117.306;0;118.817;0;119.745;0;116.796;0;104.286;0;102.46;0;12.987219;0;0.36252729;0;0.36252729;0
6584;10.6.2024 16:58:15:907;26.186;0;100.206;0;115.218;0;119.113;0;117.366;0;118.767;0;119.786;0;116.838;0;104.345;0;102.483;0;12.987219;0;0.35932994;0;0.35932994;0
6585;10.6.2024 16:58:16:907;26.181;0;100.219;0;115.231;0;119.09;0;117.306;0;118.78;0;119.763;0;116.76;0;104.376;0;102.46;0;12.987219;0;0.36076101;0;0.36076101;0
6586;10.6.2024 16:58:17:907;26.183;0;100.239;0;115.178;0;119.074;0;117.308;0;118.782;0;119.783;0;116.762;0;104.306;0;102.462;0;12.987303;0;0.360649;0;0.360649;0
6587;10.6.2024 16:58:18:907;26.188;0;100.19;0;115.202;0;119.097;0;117.349;0;118.787;0;119.77;0;116.803;0;104.256;0;102.503;0;12.987386;0;0.35978133;0;0.35978133;0
6588;10.6.2024 16:58:19:907;26.186;0;100.206;0;115.2;0;119.113;0;117.384;0;118.804;0;119.823;0;116.801;0;104.29;0;102.429;0;12.987219;0;0.36048851;0;0.36048851;0
6589;10.6.2024 16:58:20:907;26.181;0;100.201;0;115.176;0;119.09;0;117.397;0;118.817;0;119.727;0;116.76;0;104.304;0;102.406;0;12.987638;0;0.36031464;0;0.36031464;0
6590;10.6.2024 16:58:21:907;26.186;0;100.188;0;115.254;0;119.077;0;117.384;0;118.767;0;119.786;0;116.783;0;104.29;0;102.501;0;12.987052;0;0.35984402;0;0.35984402;0
6591;10.6.2024 16:58:22:907;26.186;0;100.188;0;115.236;0;119.022;0;117.384;0;118.767;0;119.786;0;116.801;0;104.272;0;102.555;0;12.987052;0;0.36116058;0;0.36116058;0
6592;10.6.2024 16:58:23:907;26.183;0;100.185;0;115.269;0;119.055;0;117.417;0;118.764;0;119.729;0;116.817;0;104.306;0;102.534;0;12.987386;0;0.36462375;0;0.36462375;0
6593;10.6.2024 16:58:24:907;26.181;0;100.201;0;115.249;0;119.035;0;117.379;0;118.744;0;119.781;0;116.815;0;104.286;0;102.514;0;12.987386;0;0.36522393;0;0.36522393;0
6594;10.6.2024 16:58:25:907;26.186;0;100.17;0;115.272;0;119.058;0;117.42;0;118.731;0;119.75;0;116.856;0;104.272;0;102.519;0;12.987303;0;0.35965761;0;0.35965761;0
6595;10.6.2024 16:58:26:907;26.179;0;100.217;0;115.265;0;119.033;0;117.377;0;118.76;0;119.779;0;116.831;0;104.211;0;102.512;0;12.987303;0;0.36124584;0;0.36124584;0
6596;10.6.2024 16:58:27:907;26.183;0;100.185;0;115.306;0;119.037;0;117.381;0;118.71;0;119.765;0;116.798;0;104.233;0;102.462;0;12.987303;0;0.36201237;0;0.36201237;0
6597;10.6.2024 16:58:28:907;26.181;0;100.201;0;115.286;0;119.017;0;117.342;0;118.708;0;119.727;0;116.833;0;104.231;0;102.424;0;12.987219;0;0.36057795;0;0.36057795;0
6598;10.6.2024 16:58:29:907;26.181;0;100.237;0;115.286;0;118.962;0;117.415;0;118.708;0;119.727;0;116.778;0;104.231;0;102.514;0;12.987135;0;0.36053532;0;0.36053532;0
6599;10.6.2024 16:58:30:907;26.19;0;100.228;0;115.276;0;119.008;0;117.406;0;118.698;0;119.736;0;116.86;0;104.258;0;102.469;0;12.987386;0;0.36152587;0;0.36152587;0
6600;10.6.2024 16:58:31:907;26.181;0;100.201;0;115.286;0;118.908;0;117.361;0;118.744;0;119.709;0;116.833;0;104.231;0;102.46;0;12.987386;0;0.35975374;0;0.35975374;0
6601;10.6.2024 16:58:32:907;26.183;0;100.185;0;115.288;0;119.037;0;117.381;0;118.71;0;119.674;0;116.817;0;104.233;0;102.444;0;12.987135;0;0.36068745;0;0.36068745;0
6602;10.6.2024 16:58:33:907;26.186;0;100.188;0;115.309;0;119.022;0;117.366;0;118.731;0;119.732;0;116.856;0;104.2;0;102.483;0;12.987219;0;0.36041662;0;0.36041662;0
6603;10.6.2024 16:58:34:907;26.183;0;100.221;0;115.306;0;119.001;0;117.363;0;118.782;0;119.729;0;116.817;0;104.269;0;102.534;0;12.987135;0;0.36046009;0;0.36046009;0
6604;10.6.2024 16:58:35:907;26.183;0;100.149;0;115.36;0;119.037;0;117.326;0;118.746;0;119.711;0;116.871;0;104.288;0;102.534;0;12.987303;0;0.36308066;0;0.36308066;0
6605;10.6.2024 16:58:36:907;26.186;0;100.206;0;115.309;0;119.004;0;117.384;0;118.822;0;119.695;0;116.838;0;104.272;0;102.483;0;12.987386;0;0.36109036;0;0.36109036;0
6606;10.6.2024 16:58:37:907;26.183;0;100.203;0;115.269;0;118.983;0;117.363;0;118.782;0;119.692;0;116.817;0;104.233;0;102.48;0;12.987052;0;0.36199899;0;0.36199899;0
6607;10.6.2024 16:58:38:907;26.181;0;100.219;0;115.249;0;118.999;0;117.306;0;118.78;0;119.672;0;116.815;0;104.286;0;102.478;0;12.987386;0;0.36175491;0;0.36175491;0
6608;10.6.2024 16:58:39:907;26.186;0;100.17;0;115.309;0;118.967;0;117.366;0;118.804;0;119.695;0;116.838;0;104.218;0;102.483;0;12.98747;0;0.36085714;0;0.36085714;0
6609;10.6.2024 16:58:40:907;26.183;0;100.185;0;115.233;0;119.019;0;117.326;0;118.801;0;119.674;0;116.871;0;104.251;0;102.426;0;12.987052;0;0.36199481;0;0.36199481;0
6610;10.6.2024 16:58:41:907;26.181;0;100.219;0;115.322;0;119.017;0;117.306;0;118.726;0;119.745;0;116.851;0;104.249;0;102.478;0;12.987386;0;0.36086885;0;0.36086885;0
6611;10.6.2024 16:58:42:907;26.181;0;100.219;0;115.286;0;119.053;0;117.324;0;118.799;0;119.709;0;116.869;0;104.231;0;102.533;0;12.987386;0;0.36156683;0;0.36156683;0
6612;10.6.2024 16:58:43:907;26.183;0;100.203;0;115.215;0;118.928;0;117.308;0;118.819;0;119.692;0;116.835;0;104.197;0;102.553;0;12.987386;0;0.36175909;0;0.36175909;0
6613;10.6.2024 16:58:44:907;26.183;0;100.149;0;115.269;0;119.001;0;117.363;0;118.764;0;119.765;0;116.853;0;104.179;0;102.534;0;12.987052;0;0.36217035;0;0.36217035;0
6614;10.6.2024 16:58:45:907;26.183;0;100.131;0;115.215;0;119.037;0;117.29;0;118.764;0;119.711;0;116.889;0;104.251;0;102.498;0;12.987052;0;0.36181426;0;0.36181426;0
6615;10.6.2024 16:58:46:908;26.181;0;100.002;0;115.34;0;119.126;0;117.433;0;118.617;0;119.618;0;116.924;0;104.358;0;102.587;0;12.987303;0;0.36055872;0;0.36055872;0
6616;10.6.2024 16:58:47:907;26.183;0;100.203;0;115.251;0;119.019;0;117.308;0;118.801;0;119.729;0;116.871;0;104.251;0;102.516;0;12.986884;0;0.36015832;0;0.36015832;0
6617;10.6.2024 16:58:48:907;26.181;0;100.201;0;115.304;0;119.053;0;117.342;0;118.799;0;119.654;0;116.833;0;104.249;0;102.551;0;12.986884;0;0.36201488;0;0.36201488;0
6618;10.6.2024 16:58:49:907;26.183;0;100.203;0;115.269;0;119.019;0;117.29;0;118.782;0;119.656;0;116.835;0;104.269;0;102.625;0;12.987052;0;0.36093237;0;0.36093237;0
6619;10.6.2024 16:58:50:907;26.186;0;100.206;0;115.054;0;119.095;0;117.256;0;118.913;0;119.659;0;116.856;0;104.2;0;102.61;0;12.986717;0;0.36049436;0;0.36049436;0
6620;10.6.2024 16:58:51:907;26.183;0;100.167;0;115.197;0;119.055;0;117.326;0;118.837;0;119.656;0;116.798;0;104.215;0;102.625;0;12.986884;0;0.36120655;0;0.36120655;0
6621;10.6.2024 16:58:52:907;26.183;0;100.185;0;115.288;0;119.001;0;117.363;0;118.91;0;119.62;0;116.78;0;104.215;0;102.571;0;12.986801;0;0.36163872;0;0.36163872;0
6622;10.6.2024 16:58:53:907;26.181;0;100.165;0;115.322;0;118.999;0;117.324;0;118.799;0;119.654;0;116.833;0;104.195;0;102.496;0;12.986884;0;0.36230995;0;0.36230995;0
6623;10.6.2024 16:58:54:907;26.186;0;100.188;0;115.272;0;119.04;0;117.366;0;118.822;0;119.695;0;116.91;0;104.2;0;102.519;0;12.986968;0;0.36079278;0;0.36079278;0
6624;10.6.2024 16:58:55:907;26.181;0;100.201;0;115.286;0;119.072;0;117.288;0;118.744;0;119.654;0;116.906;0;104.267;0;102.478;0;12.986968;0;0.3609842;0;0.3609842;0
6625;10.6.2024 16:58:56:907;26.183;0;100.221;0;115.251;0;119.019;0;117.326;0;118.837;0;119.638;0;116.853;0;104.233;0;102.516;0;12.986801;0;0.3607794;0;0.3607794;0
6626;10.6.2024 16:58:57:907;26.179;0;100.217;0;115.265;0;119.07;0;117.359;0;118.778;0;119.67;0;116.849;0;104.157;0;102.585;0;12.987135;0;0.36178918;0;0.36178918;0
6627;10.6.2024 16:58:58:907;26.181;0;100.183;0;115.213;0;119.072;0;117.324;0;118.835;0;119.69;0;116.887;0;104.231;0;102.551;0;12.986884;0;0.36095912;0;0.36095912;0
6628;10.6.2024 16:58:59:907;26.183;0;100.185;0;115.215;0;119.074;0;117.326;0;118.837;0;119.692;0;116.889;0;104.107;0;102.516;0;12.987052;0;0.35947288;0;0.35947288;0
6629;10.6.2024 16:59:00:907;26.181;0;100.219;0;115.213;0;119.072;0;117.306;0;118.835;0;119.709;0;116.869;0;104.141;0;102.514;0;12.987219;0;0.36163705;0;0.36163705;0
6630;10.6.2024 16:59:01:907;26.179;0;100.181;0;115.211;0;119.015;0;117.322;0;118.851;0;119.67;0;116.958;0;104.139;0;102.476;0;12.986884;0;0.36200902;0;0.36200902;0
6631;10.6.2024 16:59:02:907;26.183;0;100.185;0;115.233;0;119.037;0;117.29;0;118.892;0;119.638;0;116.944;0;104.143;0;102.534;0;12.987052;0;0.36073259;0;0.36073259;0
6632;10.6.2024 16:59:03:907;26.181;0;100.183;0;115.158;0;119.072;0;117.324;0;118.89;0;119.745;0;116.942;0;104.123;0;102.569;0;12.986801;0;0.36170893;0;0.36170893;0
6633;10.6.2024 16:59:04:907;26.186;0;100.17;0;115.236;0;119.004;0;117.293;0;118.949;0;119.641;0;116.947;0;104.11;0;102.574;0;12.986801;0;0.36088306;0;0.36088306;0
6634;10.6.2024 16:59:05:907;26.183;0;100.185;0;115.233;0;119.074;0;117.326;0;118.91;0;119.656;0;116.926;0;104.125;0;102.516;0;12.986884;0;0.36153005;0;0.36153005;0
6635;10.6.2024 16:59:06:907;26.181;0;100.201;0;115.176;0;119.072;0;117.251;0;118.89;0;119.563;0;116.96;0;104.123;0;102.551;0;12.986717;0;0.36013826;0;0.36013826;0
6636;10.6.2024 16:59:07:907;26.179;0;100.199;0;115.174;0;119.051;0;117.268;0;118.906;0;119.579;0;116.976;0;104.103;0;102.549;0;12.986884;0;0.3599017;0;0.3599017;0
6637;10.6.2024 16:59:08:907;26.179;0;100.217;0;115.156;0;119.051;0;117.213;0;118.851;0;119.616;0;116.922;0;104.067;0;102.711;0;12.986801;0;0.36196472;0;0.36196472;0
6638;10.6.2024 16:59:09:907;26.183;0;100.203;0;115.124;0;119.074;0;117.253;0;118.91;0;119.565;0;116.98;0;104.107;0;102.643;0;12.986801;0;0.36052027;0;0.36052027;0
6639;10.6.2024 16:59:10:907;26.188;0;100.244;0;115.129;0;119.133;0;117.277;0;118.933;0;119.534;0;116.985;0;104.094;0;102.648;0;12.986884;0;0.36068244;0;0.36068244;0
6640;10.6.2024 16:59:11:907;26.179;0;100.199;0;115.156;0;119.124;0;117.286;0;118.924;0;119.561;0;116.995;0;104.067;0;102.567;0;12.986968;0;0.36085631;0;0.36085631;0
6641;10.6.2024 16:59:12:907;26.179;0;100.235;0;115.174;0;119.088;0;117.231;0;118.924;0;119.561;0;116.976;0;104.103;0;102.657;0;12.986884;0;0.36092151;0;0.36092151;0
6642;10.6.2024 16:59:13:907;26.183;0;100.203;0;115.106;0;119.074;0;117.217;0;118.928;0;119.565;0;116.962;0;104.107;0;102.625;0;12.986801;0;0.35934833;0;0.35934833;0
6643;10.6.2024 16:59:14:907;26.179;0;100.163;0;115.174;0;119.088;0;117.249;0;119.015;0;119.561;0;116.976;0;104.103;0;102.657;0;12.986884;0;0.36120154;0;0.36120154;0
6644;10.6.2024 16:59:15:907;26.181;0;100.292;0;115.158;0;119.144;0;117.179;0;118.981;0;119.618;0;117.033;0;104.123;0;102.569;0;12.986801;0;0.3600112;0;0.3600112;0
6645;10.6.2024 16:59:16:907;26.181;0;100.237;0;115.176;0;119.144;0;117.215;0;118.908;0;119.563;0;116.978;0;104.105;0;102.623;0;12.986884;0;0.36090563;0;0.36090563;0
6646;10.6.2024 16:59:17:907;26.183;0;100.203;0;115.106;0;119.092;0;117.235;0;118.946;0;119.62;0;116.98;0;104.107;0;102.553;0;12.986884;0;0.36288255;0;0.36288255;0
6647;10.6.2024 16:59:18:907;26.181;0;100.165;0;115.176;0;119.144;0;117.197;0;118.908;0;119.563;0;116.978;0;104.105;0;102.514;0;12.986884;0;0.36126507;0;0.36126507;0
6648;10.6.2024 16:59:19:907;26.181;0;100.183;0;115.213;0;119.09;0;117.233;0;118.908;0;119.508;0;116.942;0;104.051;0;102.442;0;12.986801;0;0.36200317;0;0.36200317;0
6649;10.6.2024 16:59:20:907;26.179;0;100.235;0;115.138;0;119.07;0;117.249;0;118.906;0;119.561;0;116.958;0;104.085;0;102.567;0;12.986801;0;0.36038653;0;0.36038653;0
6650;10.6.2024 16:59:21:907;26.179;0;100.181;0;115.083;0;119.07;0;117.213;0;118.906;0;119.543;0;116.94;0;104.049;0;102.621;0;12.986968;0;0.3598248;0;0.3598248;0
6651;10.6.2024 16:59:22:907;26.179;0;100.29;0;115.083;0;119.106;0;117.195;0;118.924;0;119.561;0;116.995;0;104.139;0;102.603;0;12.986717;0;0.36225896;0;0.36225896;0
6652;10.6.2024 16:59:23:907;26.179;0;100.199;0;115.138;0;119.124;0;117.231;0;118.906;0;119.543;0;116.976;0;104.085;0;102.603;0;12.986884;0;0.36111377;0;0.36111377;0
6653;10.6.2024 16:59:24:907;26.179;0;100.235;0;115.12;0;119.015;0;117.213;0;118.942;0;119.561;0;116.94;0;104.121;0;102.621;0;12.986801;0;0.35937926;0;0.35937926;0
6654;10.6.2024 16:59:25:907;26.181;0;100.201;0;115.176;0;119.126;0;117.288;0;118.944;0;119.527;0;116.978;0;104.087;0;102.587;0;12.986633;0;0.36149411;0;0.36149411;0
6655;10.6.2024 16:59:26:907;26.183;0;100.239;0;115.142;0;119.11;0;117.217;0;118.946;0;119.547;0;116.999;0;104.053;0;102.498;0;12.986968;0;0.36050105;0;0.36050105;0
6656;10.6.2024 16:59:27:907;26.183;0;100.167;0;115.178;0;119.128;0;117.272;0;118.873;0;119.583;0;116.962;0;104.107;0;102.553;0;12.986633;0;0.36171646;0;0.36171646;0
6657;10.6.2024 16:59:28:907;26.181;0;100.219;0;115.158;0;119.09;0;117.251;0;118.908;0;119.581;0;116.978;0;104.141;0;102.533;0;12.986801;0;0.36101095;0;0.36101095;0
6658;10.6.2024 16:59:29:907;26.177;0;100.179;0;115.136;0;119.104;0;117.211;0;118.886;0;119.559;0;116.974;0;104.101;0;102.691;0;12.987052;0;0.36044588;0;0.36044588;0
6659;10.6.2024 16:59:30:907;26.183;0;100.257;0;115.106;0;119.092;0;117.144;0;118.983;0;119.601;0;116.98;0;104.053;0;102.571;0;12.986801;0;0.36168971;0;0.36168971;0
6660;10.6.2024 16:59:31:907;26.181;0;100.201;0;115.176;0;119.108;0;117.251;0;118.908;0;119.618;0;116.924;0;104.069;0;102.587;0;12.986633;0;0.36088974;0;0.36088974;0
6661;10.6.2024 16:59:32:907;26.181;0;100.219;0;115.122;0;119.126;0;117.27;0;118.944;0;119.581;0;116.978;0;104.087;0;102.569;0;12.986884;0;0.36142222;0;0.36142222;0
6662;10.6.2024 16:59:33:907;26.179;0;100.199;0;115.156;0;119.051;0;117.249;0;118.906;0;119.579;0;116.958;0;104.012;0;102.567;0;12.986549;0;0.36014244;0;0.36014244;0
6663;10.6.2024 16:59:34:907;26.181;0;100.237;0;115.195;0;119.126;0;117.251;0;118.944;0;119.545;0;116.978;0;104.105;0;102.605;0;12.986717;0;0.36456523;0;0.36456523;0
6664;10.6.2024 16:59:35:907;26.183;0;100.239;0;115.16;0;119.11;0;117.253;0;118.946;0;119.62;0;116.926;0;104.089;0;102.571;0;12.986884;0;0.36098169;0;0.36098169;0
6665;10.6.2024 16:59:36:907;26.179;0;100.199;0;115.138;0;119.088;0;117.268;0;118.924;0;119.561;0;116.958;0;104.103;0;102.621;0;12.986968;0;0.36128346;0;0.36128346;0
6666;10.6.2024 16:59:37:907;26.183;0;100.239;0;115.178;0;119.074;0;117.29;0;118.91;0;119.583;0;116.98;0;104.089;0;102.589;0;12.986382;0;0.36039739;0;0.36039739;0
6667;10.6.2024 16:59:38:907;26.181;0;100.183;0;115.14;0;119.053;0;117.233;0;118.926;0;119.563;0;116.997;0;104.051;0;102.677;0;12.986717;0;0.36055287;0;0.36055287;0
6668;10.6.2024 16:59:39:907;26.181;0;100.273;0;115.104;0;119.108;0;117.251;0;118.944;0;119.636;0;116.997;0;104.051;0;102.605;0;12.986633;0;0.36038318;0;0.36038318;0
6669;10.6.2024 16:59:40:907;26.181;0;100.219;0;115.14;0;119.053;0;117.215;0;118.981;0;119.563;0;116.96;0;104.033;0;102.677;0;12.986549;0;0.36096247;0;0.36096247;0
6670;10.6.2024 16:59:41:908;26.183;0;100.095;0;115.233;0;119.183;0;117.272;0;118.782;0;119.529;0;117.071;0;104.251;0;102.625;0;12.986717;0;0.35986576;0;0.35986576;0
6671;10.6.2024 16:59:42:907;26.181;0;100.237;0;115.085;0;119.09;0;117.27;0;118.944;0;119.618;0;116.942;0;104.069;0;102.623;0;12.986801;0;0.36052863;0;0.36052863;0
6672;10.6.2024 16:59:43:907;26.181;0;100.255;0;115.14;0;119.108;0;117.233;0;118.944;0;119.563;0;116.978;0;104.051;0;102.695;0;12.986633;0;0.361245;0;0.361245;0
6673;10.6.2024 16:59:44:907;26.181;0;100.165;0;115.158;0;119.09;0;117.27;0;118.908;0;119.618;0;117.033;0;104.123;0;102.677;0;12.986884;0;0.3620341;0;0.3620341;0
6674;10.6.2024 16:59:45:907;26.181;0;100.219;0;115.14;0;119.053;0;117.233;0;118.908;0;119.545;0;116.978;0;104.105;0;102.623;0;12.986466;0;0.36147404;0;0.36147404;0
6675;10.6.2024 16:59:46:907;26.177;0;100.269;0;115.209;0;119.068;0;117.266;0;118.904;0;119.614;0;116.883;0;104.083;0;102.619;0;12.986801;0;0.35991089;0;0.35991089;0
6676;10.6.2024 16:59:47:907;26.179;0;100.29;0;115.12;0;119.07;0;117.286;0;118.888;0;119.597;0;116.995;0;104.067;0;102.657;0;12.986801;0;0.36202073;0;0.36202073;0
6677;10.6.2024 16:59:48:907;26.181;0;100.237;0;115.176;0;119.108;0;117.215;0;118.853;0;119.563;0;116.96;0;104.105;0;102.641;0;12.986968;0;0.36106027;0;0.36106027;0
6678;10.6.2024 16:59:49:907;26.183;0;100.167;0;115.178;0;119.128;0;117.29;0;118.892;0;119.601;0;116.999;0;104.125;0;102.589;0;12.986549;0;0.36050188;0;0.36050188;0
6679;10.6.2024 16:59:50:907;26.179;0;100.235;0;115.211;0;119.142;0;117.286;0;118.851;0;119.616;0;116.976;0;104.175;0;102.621;0;12.986884;0;0.36150414;0;0.36150414;0
6680;10.6.2024 16:59:51:907;26.183;0;100.275;0;115.16;0;119.074;0;117.253;0;118.855;0;119.62;0;116.908;0;104.089;0;102.607;0;12.986801;0;0.36071838;0;0.36071838;0
6681;10.6.2024 16:59:52:907;26.181;0;100.255;0;115.195;0;118.999;0;117.306;0;118.908;0;119.599;0;116.869;0;104.105;0;102.749;0;12.986466;0;0.36270032;0;0.36270032;0
6682;10.6.2024 16:59:53:907;26.181;0;100.183;0;115.213;0;119.035;0;117.306;0;118.908;0;119.654;0;116.924;0;104.141;0;102.659;0;12.986717;0;0.36052612;0;0.36052612;0
6683;10.6.2024 16:59:54:907;26.181;0;100.219;0;115.158;0;119.09;0;117.306;0;118.944;0;119.654;0;116.942;0;104.159;0;102.749;0;12.986801;0;0.36033888;0;0.36033888;0
6684;10.6.2024 16:59:55:907;26.181;0;100.183;0;115.213;0;119.053;0;117.324;0;118.853;0;119.636;0;116.96;0;104.159;0;102.659;0;12.986633;0;0.36111795;0;0.36111795;0
6685;10.6.2024 16:59:56:907;26.177;0;100.215;0;115.191;0;119.049;0;117.302;0;118.886;0;119.632;0;116.902;0;104.155;0;102.619;0;12.986549;0;0.36107114;0;0.36107114;0
6686;10.6.2024 16:59:57:907;26.181;0;100.201;0;115.286;0;119.017;0;117.27;0;118.89;0;119.618;0;116.906;0;104.141;0;102.641;0;12.986633;0;0.36008727;0;0.36008727;0
6687;10.6.2024 16:59:58:907;26.181;0;100.219;0;115.195;0;119.053;0;117.306;0;118.871;0;119.654;0;116.924;0;104.159;0;102.623;0;12.986717;0;0.36214862;0;0.36214862;0
6688;10.6.2024 16:59:59:907;26.177;0;100.233;0;115.245;0;119.049;0;117.302;0;118.831;0;119.595;0;116.92;0;104.173;0;102.619;0;12.986717;0;0.36228738;0;0.36228738;0
6689;10.6.2024 17:00:00:907;26.181;0;100.237;0;115.195;0;119.017;0;117.379;0;118.908;0;119.69;0;116.869;0;104.195;0;102.605;0;12.986549;0;0.36039739;0;0.36039739;0
6690;10.6.2024 17:00:01:907;26.177;0;100.215;0;115.245;0;119.049;0;117.357;0;118.867;0;119.65;0;116.865;0;104.155;0;102.474;0;12.986884;0;0.36104188;0;0.36104188;0
6691;10.6.2024 17:00:02:907;26.181;0;100.237;0;115.195;0;119.017;0;117.306;0;118.89;0;119.636;0;116.833;0;104.177;0;102.641;0;12.986801;0;0.3612333;0;0.3612333;0
6692;10.6.2024 17:00:03:907;26.183;0;100.185;0;115.288;0;119.128;0;117.363;0;118.855;0;119.638;0;116.835;0;104.197;0;102.553;0;12.986549;0;0.36068829;0;0.36068829;0
6693;10.6.2024 17:00:04:907;26.179;0;100.199;0;115.193;0;119.015;0;117.304;0;118.797;0;119.688;0;116.831;0;104.229;0;102.603;0;12.986801;0;0.36119569;0;0.36119569;0
6694;10.6.2024 17:00:05:907;26.181;0;100.165;0;115.195;0;118.962;0;117.361;0;118.871;0;119.672;0;116.851;0;104.213;0;102.587;0;12.986884;0;0.36087052;0;0.36087052;0
6695;10.6.2024 17:00:06:907;26.181;0;100.219;0;115.213;0;118.962;0;117.342;0;118.817;0;119.709;0;116.815;0;104.195;0;102.587;0;12.986633;0;0.36069748;0;0.36069748;0
6696;10.6.2024 17:00:07:907;26.183;0;100.185;0;115.215;0;118.946;0;117.363;0;118.892;0;119.638;0;116.798;0;104.251;0;102.498;0;12.986549;0;0.36034807;0;0.36034807;0
6697;10.6.2024 17:00:08:907;26.183;0;100.185;0;115.269;0;119.001;0;117.381;0;118.819;0;119.656;0;116.817;0;104.215;0;102.516;0;12.986801;0;0.36020179;0;0.36020179;0
6698;10.6.2024 17:00:09:907;26.181;0;100.129;0;115.286;0;118.944;0;117.379;0;118.871;0;119.672;0;116.869;0;104.286;0;102.533;0;12.986717;0;0.36147404;0;0.36147404;0
6699;10.6.2024 17:00:10:907;26.181;0;100.201;0;115.304;0;118.926;0;117.379;0;118.799;0;119.727;0;116.833;0;104.286;0;102.551;0;12.986633;0;0.36009563;0;0.36009563;0
6700;10.6.2024 17:00:11:907;26.186;0;100.206;0;115.309;0;118.931;0;117.457;0;118.749;0;119.677;0;116.801;0;104.182;0;102.519;0;12.986801;0;0.36148658;0;0.36148658;0
